SBABranchID	SBADistrictOffice	CongressionalDistrict
493	DALLAS / FT WORTH DISTRICT OFFICE 	33
494	DES MOINES DISTRICT OFFICE 	01
495	SOUTH CAROLINA DISTRICT OFFICE 	12
496	SAN FRANCISCO DISTRICT OFFICE 	20
497	SEATTLE DISTRICT OFFICE 	03
498	HOUSTON DISTRICT OFFICE 	01
499	DALLAS / FT WORTH DISTRICT OFFICE 	27
500	SANTA ANA DISTRICT OFFICE 	32
501	KANSAS CITY DISTRICT OFFICE 	04
502	NEW YORK DISTRICT OFFICE 	
503	SAN FRANCISCO DISTRICT OFFICE 	10
504	COLUMBUS DISTRICT OFFICE 	
505	SEATTLE DISTRICT OFFICE 	
506	FRESNO DISTRICT OFFICE 	18
507	NORTH FLORIDA DISTRICT OFFICE 	05
508	ROCHESTER BRANCH OFFICE 	24
509	SAN ANTONIO DISTRICT OFFICE 	34
510	SPRINGFIELD BRANCH OFFICE 	03
511	SPOKANE BRANCH OFFICE 	03
512	LUBBOCK DISTRICT OFFICE 	01
513	SAN FRANCISCO DISTRICT OFFICE 	09
514	WASHINGTON DISTRICT OFFICE 	07
515	SANTA ANA DISTRICT OFFICE 	38
516	SAN ANTONIO DISTRICT OFFICE 	08
517	WISCONSIN DISTRICT OFFICE 	10
518	LOS ANGELES DISTRICT OFFICE 	03
519	LUBBOCK DISTRICT OFFICE 	23
520	SACRAMENTO DISTRICT OFFICE 	15
521	DALLAS / FT WORTH DISTRICT OFFICE 	19
522	CLEVELAND DISTRICT OFFICE 	
523	SACRAMENTO DISTRICT OFFICE 	02
524	SACRAMENTO DISTRICT OFFICE 	
525	MELVILLE BRANCH OFFICE 	05
526	MASSACHUSETTS DISTRICT OFFICE 	25
527	ST. LOUIS DISTRICT OFFICE 	12
528	UTAH DISTRICT OFFICE 	00
529	UTAH DISTRICT OFFICE 	49
530	MINNESOTA DISTRICT OFFICE 	19
531	SAN ANTONIO DISTRICT OFFICE 	17
